No.,Time,Source,Destination,Protocol,Length,Info,RTT
1400,372.966640633,10.42.0.250,54.253.71.217,TLSv1.2,769,Application Data,0.314247426
1407,376.037914256,10.42.0.250,54.253.71.217,TLSv1.2,769,Application Data,0.314746824
1415,379.319105044,10.42.0.250,54.253.71.217,TLSv1.2,833,Application Data,0.174634035
1423,382.432967976,10.42.0.250,54.253.71.217,TLSv1.2,833,Application Data,0.202330542
1443,388.574844167,10.42.0.250,54.253.71.217,TLSv1.2,833,Application Data,0.317787861
1454,395.026259718,10.42.0.250,54.253.71.217,TLSv1.2,833,Application Data,0.174593611
1474,397.962429502,10.42.0.250,54.253.71.217,TLSv1.2,833,Application Data,0.175625666
1490,400.614612249,10.42.0.250,54.253.71.217,TLSv1.2,833,Application Data,0.175603799
1500,403.998236786,10.42.0.250,54.253.71.217,TLSv1.2,833,Application Data,0.572174576
1515,406.960513079,10.42.0.250,54.253.71.217,TLSv1.2,833,Application Data,0.215413908
1524,409.644112902,10.42.0.250,54.253.71.217,TLSv1.2,833,Application Data,0.174554015
1532,412.284903881,10.42.0.250,54.253.71.217,TLSv1.2,833,Application Data,0.176957442
1540,414.956986692,10.42.0.250,54.253.71.217,TLSv1.2,883,Application Data,0.243873230
1549,418.439815067,10.42.0.250,54.253.71.217,TLSv1.2,883,Application Data,0.281167271
1558,421.502646258,10.42.0.250,54.253.71.217,TLSv1.2,883,Application Data,0.329647134
1566,424.184654246,10.42.0.250,54.253.71.217,TLSv1.2,883,Application Data,0.175943868
1581,427.347297870,10.42.0.250,54.253.71.217,TLSv1.2,883,Application Data,0.302573032
1589,430.309794085,10.42.0.250,54.253.71.217,TLSv1.2,883,Application Data,0.384119391
1596,432.982878976,10.42.0.250,54.253.71.217,TLSv1.2,883,Application Data,0.174915320
1605,435.844222553,10.42.0.250,54.253.71.217,TLSv1.2,883,Application Data,0.179054352
1612,438.706481185,10.42.0.250,54.253.71.217,TLSv1.2,883,Application Data,0.276231456
1623,441.780259604,10.42.0.250,54.253.71.217,TLSv1.2,883,Application Data,0.362155061
1638,444.652768399,10.42.0.250,54.253.71.217,TLSv1.2,948,Application Data,0.174180870
1654,447.617080671,10.42.0.250,54.253.71.217,TLSv1.2,948,Application Data,0.659660211
1669,450.590741190,10.42.0.250,54.253.71.217,TLSv1.2,948,Application Data,0.279738111
1689,453.254455432,10.42.0.250,54.253.71.217,TLSv1.2,948,Application Data,0.172465730
